MAKRO,712.82,0.96,57.25,35.00,B
MEGA,183.63,0.57,56.50,32.25,B
RCL,416.13,1.29,67.75,23.30,B
TMT,6.41,0.93,15.00,7.60,B
BCH,489.27,-0.27,26.75,14.00,I
DOHOME,187.78,1.04,30.75,18.20,I
IP,29.48,0.59,24.47,17.05,I
JASIF,181.16,0.21,11.30,9.40,I
MCS,26.82,0.60,16.20,13.00,I
PTT,2452.20,0.99,42.50,34.00,I
RATCH,142.88,0.65,53.75,42.00,I
SINGER,187.77,1.19,55.00,30.46,I
SIS,37.99,1.97,48.75,20.80,I
SNC,25.08,0.44,18.70,12.50,I
WHART,18.23,0.37,14.08,10.88,I
ASP,91.38,0.58,4.24,2.42,O
BAM,580.79,1.26,22.30,15.80,O
GLOBAL,273.09,0.70,23.67,17.63,O
IMH,117.88,0.65,22.60,2.66,O
TPIPL,54.66,0.96,2.22,1.64,O
TU,609.54,0.46,23.00,13.80,O
CPNCG,3.37,0.41,12.80,10.40,T
DIF,144.33,0.42,14.50,11.30,T
HREIT,4.61,0.35,9.30,7.35,T
PTTGC,1137.17,1.06,70.00,51.75,T
RJH,14.85,0.16,39.00,25.00,T
SCCC,80.14,0.57,188.50,152.00,T
STA,239.56,0.44,50.75,26.50,T
TISCO,598.73,0.56,102.50,85.00,T
KCE,1377.04,0.50,95.00,53.00,U
NER,127.64,0.49,8.65,5.10,U
ROJNA,18.72,1.22,8.90,4.70,U
SCC,1367.26,0.68,474.00,367.00,U
SPALI,203.84,0.65,23.60,19.00,U
SYNEX,125.02,1.84,37.00,19.00,U
ASIAN,90.54,0.71,22.90,9.40,X
ASK,75.40,0.66,49.50,18.25,X
BBL,2556.90,1.27,149.00,100.00,X
BDMS,796.39,0.49,25.25,20.10,X
CHG,246.20,-0.14,4.44,2.60,X
GULF,1705.09,0.99,52.75,31.00,X
JMT,683.61,1.12,70.75,38.34,X
KBANK,4873.56,1.74,175.00,101.00,X
KKP,409.18,0.90,72.50,49.75,X
PTTEP,2053.47,0.73,150.00,100.50,X
SAT,72.99,0.76,24.80,16.70,X
SCB,1976.19,1.51,138.00,90.25,X
SENA,38.32,0.85,5.50,3.44,X
SMPC,17.46,0.64,14.20,10.00,X
SMT,35.25,1.16,7.50,4.00,X
STARK,183.56,0.48,5.45,3.68,X
SVI,170.33,0.72,11.70,4.60,X
TCAP,265.56,0.90,44.00,31.75,X
TQM,91.69,0.63,66.75,43.75,X
TVO,71.12,0.44,37.50,29.50,X
VIBHA,26.91,0.07,2.74,1.74,X
