SCCC,Q4,3914119,3994443,-80324,-2.01
SENA,Q4,762758,742962,19796,2.66
SF,Q4,963977,1577131,-613154,-38.88
SIRI,Q4,3380431,3382447,-2016,-0.06
SMPC,Q4,541138,567355,-26217,-4.62
SNC,Q4,401654,416012,-14358,-3.45
SPA,Q4,140965,137095,3870,2.82
SPALI,Q4,4886527,5135872,-249345,-4.85
SPCG,Q4,2314209,2172505,141704,6.52
SPF,Q4,1558019,1536067,21952,1.43
STEC,Q4,1380755,1316776,63979,4.86
STPI,Q4,1365884,2043031,-677147,-33.14
SVI,Q4,1602673,1867046,-264373,-14.16
SYNEX,Q4,406932,387703,19229,4.96
TASCO,Q4,3110134,3399494,-289360,-8.51
TCAP,Q4,6012725,5678322,334403,5.89
TCCC,Q4,2305515,1902549,402966,21.18
TFG,Q4,1446801,1033904,412897,39.94
THANI,Q4,881156,813756,67400,8.28
THCOM,Q4,1611772,2469971,-858199,-34.75
TICON,Q4,275025,1060211,-785186,-74.06
TIPCO,Q4,813639,839119,-25480,-3.04
TISCO,Q4,5005403,4956540,48863,0.99
TK,Q4,429692,457241,-27549,-6.03
TKN,Q4,781848,699546,82302,11.77
TKS,Q4,341973,327020,14953,4.57
TMB,Q4,8226257,8708526,-482269,-5.54
TMT,Q4,908951,770628,138323,17.95
TNH,Q4,282039,271929,10110,3.72
TOP,Q4,21221911,19168946,2052965,10.71
TPCH,Q4,201173,165421,35752,21.61
TRC,Q4,290757,256458,34299,13.37
TTW,Q4,2475559,2502360,-26801,-1.07
TVO,Q4,2754625,2520728,233897,9.28
UNIQ,Q4,883372,841022,42350,5.04
UV,Q4,1075690,1015067,60623,5.97
VIBHA,Q4,678645,711516,-32871,-4.62
VNG,Q4,1602108,1451968,150140,10.34
WHA,Q4,2898159,2281917,616242,27.01
WORK,Q4,198631,278531,-79900,-28.69
