BANPU,2023-02-07,2023-02-07,11.3,11.2,-0.88,161516144,12.6,11.3,B,Insert
CK,2023-02-03,2023-02-07,22.7,22.4,-1.32,5067398,22.9,22.6,O,Update
CKP,2023-02-03,2023-02-07,4.56,4.68,2.63,24336619,4.6,4.54,O,Update
COM7,2023-02-06,2023-02-07,32.25,31.75,-1.55,15549744,33.25,32.0,O,Update
CPF,2023-02-07,2023-02-07,23.6,23.6,0.0,17028962,24.0,23.6,O,Insert
DIF,2023-02-02,2023-02-07,13.6,13.6,0.0,7390171,13.7,13.6,I,Update
IVL,2023-02-06,2023-02-07,40.5,40.5,0.0,11842657,41.25,40.25,I,Update
JASIF,2023-02-03,2023-02-07,8.25,8.25,0.0,3589348,8.25,8.2,I,Update
JMART,2023-02-03,2023-02-07,37.25,36.75,-1.34,8468235,37.75,37.0,I,Update
JMT,2023-02-07,2023-02-07,53.75,53.0,-1.4,14084684,55.25,53.75,I,Insert
KCE,2023-01-31,2023-02-07,54.75,57.0,4.11,17516788,58.5,50.5,B,Update
MEGA,2023-02-03,2023-02-07,51.25,51.5,0.49,2419856,52.0,51.25,O,Update
ORI,2023-02-07,2023-02-07,11.7,11.7,0.0,8430180,12.3,11.7,I,Insert
PTT,2023-02-07,2023-02-07,32.75,32.5,-0.76,33729036,34.0,32.5,O,Insert
RCL,2023-02-03,2023-02-07,30.75,31.0,0.81,1864108,31.0,30.5,B,Update
SINGER,2023-02-03,2023-02-07,28.25,28.0,-0.88,1866964,28.75,28.0,I,Update
STA,2023-02-03,2023-02-07,22.3,23.4,4.93,17792391,22.7,22.2,I,Update
TMT,2023-02-07,2023-02-07,8.15,8.15,0.0,121777,8.2,8.1,S,Insert
TTB,2023-02-02,2023-02-07,1.45,1.42,-2.07,194236716,1.47,1.44,O,Update
WHAIR,2023-01-31,2023-02-07,7.95,8.0,0.63,846450,8.05,7.8,I,Update
